         ประเภท,,คำถาม,,คำตอบ,,
อบรมสัมมนา,,"ไม่สามารถลงทะเบียนงานสัมมาได้ แต่ลงทะเบียนตั้งแต่ 10-11/07/67 ทันที่ได้รับเมล์แต่ไม่ได้ ซึ่งประมาณ 10.00 น. ก็พยายามลงทะเบียนอีกครั้ง ก็ไม่ได้ ตอนที่ทำการลงทะเบียน ช่วงกดเข้าไปหน้าเว็ป เเจ้งให้สมัคร พอสมัครเสร็จก็ลงทะเบียนไม่ได้ 
กดกรอกข้อมูลระบบไม่ไปหน้าถัดไป",,"กรณีต้องการเข้าร่วมสัมมนาธุรกิจต่างๆ จะมีเงื่อนไขและข้อกำหนดของงานสัมมนาอาจจะต้องเป็นสมาชิก ลงทะเบียน และการสัมมนาบางหัวข้อจะเปิดให้บุคคลทั่วไปเข้าร่วมได้ค่ะ ซึ่งแต่ละงานจะมีข้อกำหนดที่แตกต่างกันไปค่ะ 
ทางเราจะมีการอัพเดทสัมมนาต่างๆ ที่กำลังจะเกิดขึ้นผ่านทางเว็บไซต์และอาจจจะมีการจัดส่งข้อมูลทางอีเมล์ให้แก่สมาชิกอยู่เสมอ โปรดตรวจสอบข้อมูลในช่องทางดังกล่าวค่ะ 
กรณีต้องการข้อมูลเพิ่มเติม หรือติดปัญหาเกี่ยวกับการสัมมนา อบรม สอบถามผลการลงทะเบียน สามารถติดต่อได้ตามช่องทางนี้เลยค่ะ
อีเมล / email : 7smeinfo@cpall.co.th
Call Center / telephone number : 02-826-7750",,
อบรมสัมมนา,,เส้นทางระดมทุน SME,,"กรณีต้องการเข้าร่วมสัมมนาธุรกิจต่างๆ จะมีเงื่อนไขและข้อกำหนดของงานสัมมนาอาจจะต้องเป็นสมาชิก ลงทะเบียน และการสัมมนาบางหัวข้อจะเปิดให้บุคคลทั่วไปเข้าร่วมได้ค่ะ ซึ่งแต่ละงานจะมีข้อกำหนดที่แตกต่างกันไปค่ะ 
ทางเราจะมีการอัพเดทสัมมนาต่างๆ ที่กำลังจะเกิดขึ้นผ่านทางเว็บไซต์และอาจจจะมีการจัดส่งข้อมูลทางอีเมล์ให้แก่สมาชิกอยู่เสมอ โปรดตรวจสอบข้อมูลในช่องทางดังกล่าวค่ะ 
กรณีต้องการข้อมูลเพิ่มเติม หรือติดปัญหาเกี่ยวกับการสัมมนา อบรม สอบถามผลการลงทะเบียน สามารถติดต่อได้ตามช่องทางนี้เลยค่ะ
อีเมล / email : 7smeinfo@cpall.co.th
Call Center / telephone number : 02-826-7750",,
อบรมสัมมนา,,"เข้าลิงค์เพื่อเข้าร่วมกิจกรรมอบรมสัมมาเกี่ยวกับ SME ผ่านเมล์ที่ส่งมาไม่ได้
เข้าลิงค์เพื่อเข้าร่วมกิจกรรมอบรมสัมมาเกี่ยวกับ SME ผ่านเมล์ที่ส่งมาไม่ได้ ต้องทำยังไง",,"กรณีต้องการเข้าร่วมสัมมนาธุรกิจต่างๆ จะมีเงื่อนไขและข้อกำหนดของงานสัมมนาอาจจะต้องเป็นสมาชิก ลงทะเบียน และการสัมมนาบางหัวข้อจะเปิดให้บุคคลทั่วไปเข้าร่วมได้ค่ะ ซึ่งแต่ละงานจะมีข้อกำหนดที่แตกต่างกันไปค่ะ 
ทางเราจะมีการอัพเดทสัมมนาต่างๆ ที่กำลังจะเกิดขึ้นผ่านทางเว็บไซต์และอาจจจะมีการจัดส่งข้อมูลทางอีเมล์ให้แก่สมาชิกอยู่เสมอ โปรดตรวจสอบข้อมูลในช่องทางดังกล่าวค่ะ 
กรณีต้องการข้อมูลเพิ่มเติม หรือติดปัญหาเกี่ยวกับการสัมมนา อบรม สอบถามผลการลงทะเบียน สามารถติดต่อได้ตามช่องทางนี้เลยค่ะ
อีเมล / email : 7smeinfo@cpall.co.th
Call Center / telephone number : 02-826-7750",,
คำถามทั่วไป,,สามารถส่งตัวแทนในการเข้าร่วมการนำเสนอ SME ได้ไหม,,หากคุณต้องการส่งตัวแทนในการเข้าร่วมการนำเสนอสินค้าลงร้าน 7-11 สามารถทำได้โดยภายหลังจากที่มีการกรอกข้อมูลลงทะเบียนในเว็บไซต์ www.7smesupportcenter.com ซึ่งเป็นช่องทางในการนำเสนอสินค้าของ SME ไปยัง 7-Eleven ค่ะ คุณสามารถส่งตัวแทนบริษัทในการเข้าร่วมการนำเสนอได้ตามความเหมาะสม,,
คำถามทั่วไป,,ถ้าหากอยากเปลี่ยนข้อมูลการลงทะเบียนต้องทำอย่างไร,,"ฉันไม่แน่ในความต้องการของคำถามถ้าอยากเปลี่ยนข้อมูลการลงทะเบียนต้องทำอย่างไร ซึ่งคุณอาจจะหมายถึง 2 กรณีนี้และฉันมีคำแนะนำให้คุณลองทำตามนี้ค่ะ
กรณีที่ 1 ต้องการเพิ่มสินค้า ให้ไปที่เมนู ""สินค้าของฉัน""
กดปุ่ม + เพิ่มสินค้าใหม่
กรอกรายละเอียดเสร็จแล้ว กดปุ่มนำเสนอสินค้า

กรณีที่ 2 หากคุณต้องการเปลี่ยนหรือแก้ไขข้อมูลการลงทะเบียน คุณสามารถติดต่อเจ้าหน้าที่ผ่านเบอร์โทร Call Center : 02-826-7750 หรือ 7smeinfo@cpall.co.th  
นอกจากนี้ หากคุณต้องการความช่วยเหลือเพิ่มเติมหรือมีคำถามเกี่ยวกับการเปลี่ยนแปลงข้อมูลการลงทะเบียน คุณสามารถติดต่อเจ้าหน้าที่ผ่านช่องทางอีเมล : 7smeinfo@cpall.co.th Call Center : 02-826-7750  แจ้งปัญหาที่พบเจอให้ทาง 7 SME Support Centerได้ช่วยแก้ไขปัญหาให้คุณได้อย่างรวดเร็วและเรียบร้อยค่ะ.",,
อบรมสัมมนา,,ถ้าหากต้องการเข้าร่วม SME แต่ไม่มีเมล์ยืนยันการเข้าร่วม จะสามารถติดต่อได้ทางไหนได้บ้าง,,"กรณีต้องการเข้าร่วมสัมมนาธุรกิจต่างๆ จะมีเงื่อนไขและข้อกำหนดของงานสัมมนาอาจจะต้องเป็นสมาชิก ลงทะเบียน และการสัมมนาบางหัวข้อจะเปิดให้บุคคลทั่วไปเข้าร่วมได้ค่ะ ซึ่งแต่ละงานจะมีข้อกำหนดที่แตกต่างกันไปค่ะ 
ทางเราจะมีการอัพเดทสัมมนาต่างๆ ที่กำลังจะเกิดขึ้นผ่านทางเว็บไซต์และอาจจจะมีการจัดส่งข้อมูลทางอีเมล์ให้แก่สมาชิกอยู่เสมอ โปรดตรวจสอบข้อมูลในช่องทางดังกล่าวค่ะ 
กรณีต้องการข้อมูลเพิ่มเติม หรือติดปัญหาเกี่ยวกับการสัมมนา อบรม สอบถามผลการลงทะเบียน สามารถติดต่อได้ตามช่องทางนี้เลยค่ะ
อีเมล / email : 7smeinfo@cpall.co.th
Call Center / telephone number : 02-826-7750",,
อบรมสัมมนา,,ได้รับการลงทะเบียนแล้วเข้าร่วม SME แต่ไม่ได้เป็นสมาชิกแล้วต้องไปที่ไหนต่อ,,"กรณีต้องการเข้าร่วมสัมมนาธุรกิจต่างๆ จะมีเงื่อนไขและข้อกำหนดของงานสัมมนาอาจจะต้องเป็นสมาชิก ลงทะเบียน และการสัมมนาบางหัวข้อจะเปิดให้บุคคลทั่วไปเข้าร่วมได้ค่ะ ซึ่งแต่ละงานจะมีข้อกำหนดที่แตกต่างกันไปค่ะ 
ทางเราจะมีการอัพเดทสัมมนาต่างๆ ที่กำลังจะเกิดขึ้นผ่านทางเว็บไซต์และอาจจจะมีการจัดส่งข้อมูลทางอีเมล์ให้แก่สมาชิกอยู่เสมอ โปรดตรวจสอบข้อมูลในช่องทางดังกล่าวค่ะ 
กรณีต้องการข้อมูลเพิ่มเติม หรือติดปัญหาเกี่ยวกับการสัมมนา อบรม สอบถามผลการลงทะเบียน สามารถติดต่อได้ตามช่องทางนี้เลยค่ะ
อีเมล / email : 7smeinfo@cpall.co.th
Call Center / telephone number : 02-826-7750",,
อบรมสัมมนา,,อยากทราบว่าสามารถเข้า SME ได้ที่ไหน,,"กรณีต้องการเข้าร่วมสัมมนาธุรกิจต่างๆ จะมีเงื่อนไขและข้อกำหนดของงานสัมมนาอาจจะต้องเป็นสมาชิก ลงทะเบียน และการสัมมนาบางหัวข้อจะเปิดให้บุคคลทั่วไปเข้าร่วมได้ค่ะ ซึ่งแต่ละงานจะมีข้อกำหนดที่แตกต่างกันไปค่ะ 
ทางเราจะมีการอัพเดทสัมมนาต่างๆ ที่กำลังจะเกิดขึ้นผ่านทางเว็บไซต์และอาจจจะมีการจัดส่งข้อมูลทางอีเมล์ให้แก่สมาชิกอยู่เสมอ โปรดตรวจสอบข้อมูลในช่องทางดังกล่าวค่ะ 
กรณีต้องการข้อมูลเพิ่มเติม หรือติดปัญหาเกี่ยวกับการสัมมนา อบรม สอบถามผลการลงทะเบียน สามารถติดต่อได้ตามช่องทางนี้เลยค่ะ
อีเมล / email : 7smeinfo@cpall.co.th
Call Center / telephone number : 02-826-7750",,
คำถามทั่วไป,,อยากทราบสถานที่ที่สามารถเข้าไปเสนอ SME ด้วยตัวเอง,,"ขอบคุณที่สนใจเสนอสินค้ากับทาง ซีพี ออลล์ค่ะ ขอแนะนำแนวทางเสนอสินค้าดังนี้:
เมื่อคุณมั่นใจว่าธุรกิจของคุณเข้าข่ายการเป็น SME คุณสามารถเสนอสินค้านำเข้าโดยตรงผ่านเว็บไซต์ www.7smesupportcenter.com
กรอกข้อมูลลงทะเบียนนำเสนอสินค้าที่เว็บไซต์ดังกล่าวเพื่อทำการเสนอสินค้าของคุณ ภายหลังจากสินค้าได้รับการพิจารณาแล้วจะมีอีเมล์แจ้งผล และมีเจ้าหน้าที่ติดต่อกลับเพื่อดำเนินการตามขั้นตอนการนำเสนอสินค้าค่ะ

หากมีข้อสงสัยหรือต้องการคำแนะนำในการเสนอสินค้า คุณสามารถติดต่อเจ้าหน้าที่ หรือ Call Service ศูนย์รับเรื่อง SME CPALL เพื่อขอความช่วยเหลือเพิ่มเติม
หวังว่าข้อมูลนี้จะเป็นประโยชน์กับของธุรกิจของคุณค่ะ ",,
คำถามทั่วไป,,ถ้าไม่ลงทะเบียนเข้าร่วม SME สามารถดูธุรกิจอื่น ๆ ได้ไหม,,กรณีที่ไม่ต้องการสมัครสมาชิกเว็บ 7 SME Support Center นั้นคุณยังสามารถเข้าถึงข้อมูลต่างๆ บนเว็บไซต์ของเราได้โดยไม่จำเป็นต้อง log in เป็นสมาชิกค่ะ แต่หากคุณเป็น SME แล้วการเป็นสมาชิกจะได้รับสิทธิประโยชน์ที่มากกว่า เช่น สามารถนำเสนอสินค้าเพิ่มโอกาสเข้าสู่ช่องทางขายกับ 7-Eleven หรือ All Online สามารถรับชม Clip VDO ความรู้พื้นฐานทั่วไปก่อนนำเสนอสินค้าสู่ Modern Trade ,,
