NO,,คำถาม,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,คำตอบ,,,,,,,,,,,,,,การตอบกลับของลูกค้า,
1,,ลูกค้าเเจ้งงว่าไม่สามารถลงทะเบียนได้พรุ่งนี้ที่มีงานสัมมา   จริงๆทำตั้งแต่ 10-11/07/67 ที่ได้รับเมล์พอไม่ได้ วันนี้  ประมาณ 10.00 น.  ก็พยายามลงทะเบียนอีกครั้ง ก็ไม่ได้ ตอนที่ให้ทำการลงทะเบียน ช่วงกดเข้าไปหน้าเว็ป เเจ้งให้สมัคร member  พอสมัครเสร็จก็ลงทะเบียนไม่ได้เลย กดกรอกข้อมูลระบบไม่ไปหน้าถัดไปให้ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,ลูกค้าเเจ้งว่างานพรุ่งนี้  เส้นทางระดบทุน SME  ยังไม่ได้ลงทะเบียนงานสัมนา อยากทราบว่าลงทะเบียนทันไหม   เพราะลูกค้าไม่ได้รับเมล์   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,"ลูกค้าเเจ้งว่าจะเข้าร่วมสัมมนาวันนี้ เเต่เข้าลิ้งในเมล์แล้วไม่ได้ค่ะ     



",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ระกว่างตรวจสอบลูกค้าเเจ้งว่าเข้าได้เเล้วค่ะ ,,,,,,,,,,,,,,,
4,,"ลูกค้าแจ้งว่าได้รับเมล ของ cpall ร่วมกับ ตลาดหลักทรัพย์ เชิญเข้าร่วมสัมมนาในหัวข้อเรื่องโอกาสการเติบโตและเส้นทางระดมทุน วันที่ 18/07/67 เวลา 13.00-17.00น. แต่ในเมลล์ไม่ได้รับ QR Code เพื่อสแกนรับสิทธิ์เข้าร่วม ต้องการให้ส่งเมลล์ให้ใหม่ และสอบถามเพิ่มเติมว่าสามารถส่งตัวแทนไปเข้าร่วมสัมมนาแทนได้หรือไม่ 

โดยให้ส่งไปที่เมลล์ hatavesin@hotmail.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,"ลูกค้าแจ้งว่าได้ลงทะเบียนสัมมนาที่จัดในวันที่ 18/07/67 ตอนแรกลูกค้าลงทะเบียนว่าจะเข้าร่วมแบบ offline และลูกค้าจะขอแก้ไขใหม่เป็นการลงทะเบียนแบบ online แทนค่ะ ,ลงทะเบียนไว้ด้วยชื่อ : รณิดา  นกไทยเจริญ ,Email : salemdt@nokthai.com",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,ลูกค้าสอบถามเข้ามาว่า ได้มีการลงทะเบียนสัมนาเรียบร้อยแล้ว แต่ต้องการทราบว่าจะได้รับเมลล์ตอบกลับเมื่อไหร่ หรือลิ้งประชุมผ่านช่องทางไหนค่ะ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,"ลูกค้าสอบถามงาน สัมมนา ในวันที่ 18/07/67 เรื่อง ""เปิดบ้านแนะนำโอกาสการเติบโต และเส้นทางระดมทุนเพื่อ SME/Startups"" ลูกค้าแจ้งว่าได้รับ QR code แล้วเมื่อเข้าไปที่เว็บไซต์แล้วอยากทราบว่าจะต้องไปกรอกข้อมูลตรงไหนต่อ เนื่องจากหน้าลงทะเบียนจะเป็นหน้าของสมาชิก ซึ่งลูกค้ายังไม่ได้เป็นสมาชิกเลยค่ะ  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,ลูกค้าสอบถามเนื่องจากมีการลงทะเบียนเข้าร่วมสัมมานาออนไลน์ อนาหกทราบว่าจะเข้าชมได้ทางไหน,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งลูกค้าจะได้รับลิงคืเข้าร่วมสัมมนาผ่านทางเมลืที่ลงทะเบียนไว้ค่ะ,,,,,,,,,,,,,,,
9,,สนใจเข้ารวมสัมมนา  โครงการ SME   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำลงทะเบียนเรียบร้อย,,,,,,,,,,,,,,,
10,,"สอบถาม สถานที่ตั้ง สัมนา 

 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งเรีบยร้อยค่ะ ตลาดหลักทรัพย์แห่งประเทศไทย (The Stock Exchange of Thailand),,,,,,,,,,,,,,,ลูกค้ารับทราบค่ะ 
11,,สอบถามได้รับอีเมลล์ เข้าร่วมสมนา ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แจ้งลูกค้าเรียบร้อยค่ะ กรณีไม่เข้าร่วม ไม่ต้องสแกน QR CODE,,,,,,,,,,,,,,,
12,,สอบถามเรื่องการลงทะเบียนสัมนา,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,แนะนำลูกค้า กรณีไม่ได้เข้าร่วม ไม่ต้องตอบกลับเมลล์หรือแสกน QR CODE ,,,,,,,,,,,,,,,ลูกค้ารับทราบข้อมูลค่ะ 
13,,อบรมสัมมาวันนี้ 18/07/67 ถ้าไม่ได้ลงทะเบียน สามารถเข้าได้ไหมค่ะ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ไม่ได้ครับ,,,,,,,,,,,,,,,
14,, คู่ขา ลงทะเบียน SME แบบ ออนไซต์  ต้องการเปลี่ยนเป็าน แบบออนไลน์  เนื่องจาก ไม่สะดวก เข้าพื้นที่ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ต้องการให้ติดต่อกลับ 
15,,คุณเดือนติดต่อจาก Credential Group ได้รับ email เชิญให้เข้าร่วมสัมมนาโดยสแกน QR Code เพื่อลงทะเบียนภายในวันที่ 17/7/2567 แต่ว่ายังไม่ได้รับ QR Code ต้องการให้ส่ง QR Code มาให้ที่ email wongduan.s@credentialgroup.comถ้าส่งเรียบร้อยแล้ว ให้ติดต่อกลับที่เบอร์ 0643566322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,โครงการ SME สแกนคิวอาร์โค้ด แล้วลงทะเบียนไม่ได้ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ต้องการให้ประสานงานกลับ
